"symbol","date","1. open","2. high","3. low","4. close","5. volume"
"IBM","2021-06-23","146.4300","146.5000","144.5700","144.6100","3202644"
"IBM","2021-06-22","146.5200","146.8100","145.3500","146.3600","2437121"
"IBM","2021-06-21","144.1100","147.0700","144.0600","146.6500","4285711"
"IBM","2021-06-18","144.4800","144.6800","143.0400","143.1200","9156505"
"IBM","2021-06-17","147.5500","148.0600","145.2800","145.6000","4367387"
"IBM","2021-06-16","149.7600","149.7600","147.2200","147.8300","3795420"
"IBM","2021-06-15","149.8500","149.9100","148.6000","149.3600","2513281"
"IBM","2021-06-14","150.7100","151.0300","148.6550","150.0300","3344845"
"IBM","2021-06-11","150.4300","151.8450","150.3700","151.2800","3438255"
"IBM","2021-06-10","151.4700","152.8400","149.7600","150.5400","4758488"
"IBM","2021-06-09","149.0300","151.0700","148.8200","150.6700","5303252"
"IBM","2021-06-08","148.1200","150.2000","148.1200","149.0700","5080099"
"IBM","2021-06-07","147.5500","148.7400","147.1700","148.0200","3462712"
"IBM","2021-06-04","146.0000","147.5500","145.7600","147.4200","3117905"
"IBM","2021-06-03","144.9100","145.8800","144.0400","145.5500","4130741"
"IBM","2021-06-02","144.6200","145.7500","144.1100","145.7200","2786916"
"IBM","2021-06-01","145.0000","145.8300","143.7500","144.1900","2417455"
"IBM","2021-05-28","144.2100","144.3300","143.4850","143.7400","2534811"
"IBM","2021-05-27","143.8200","144.7700","143.6300","143.8200","5630345"
"IBM","2021-05-26","143.5000","143.9894","143.0400","143.3800","3083789"
"IBM","2021-05-25","144.9200","145.0000","143.2000","143.7900","3937323"
"IBM","2021-05-24","145.0600","145.3900","144.1800","144.7200","3297570"
"IBM","2021-05-21","144.2800","145.6990","144.2800","144.7400","4033482"
"IBM","2021-05-20","143.1200","144.9100","142.1600","143.8800","4112690"
"IBM","2021-05-19","142.3200","143.2000","140.9200","143.1900","4300732"
"IBM","2021-05-18","144.7800","145.3000","143.2300","143.9100","3824050"
"IBM","2021-05-17","144.4400","145.8000","144.3300","145.1100","4275172"
"IBM","2021-05-14","145.1100","145.6900","143.9600","144.6800","2747385"
"IBM","2021-05-13","141.4500","144.9000","141.2800","144.1700","4598920"
"IBM","2021-05-12","143.8400","144.1500","141.1400","141.3000","5959579"
"IBM","2021-05-11","144.9900","145.1900","142.9000","144.2200","7126404"
"IBM","2021-05-10","145.8000","148.3800","145.8000","146.1700","6983377"
"IBM","2021-05-07","145.9200","146.1400","144.5700","145.4600","7003467"
"IBM","2021-05-06","145.2600","148.5150","145.1800","148.4200","7503487"
"IBM","2021-05-05","145.9400","145.9400","144.9700","145.2200","4999900"
"IBM","2021-05-04","144.4100","146.5900","144.3300","145.7500","6350479"
"IBM","2021-05-03","143.8100","145.7500","143.5500","144.7500","5733463"
"IBM","2021-04-30","143.7000","143.8300","140.5500","141.8800","8872181"
"IBM","2021-04-29","144.1300","148.7400","142.9800","144.2400","4353880"
"IBM","2021-04-28","142.9200","143.4000","142.1000","143.0000","3768129"
"IBM","2021-04-27","141.6900","142.5600","140.7500","142.0100","3884037"
"IBM","2021-04-26","142.4200","143.6300","141.4800","141.5700","4710763"
"IBM","2021-04-23","141.3100","143.6100","140.9500","142.4300","4556700"
"IBM","2021-04-22","143.7000","144.7400","141.0000","141.2800","7101368"
"IBM","2021-04-21","138.0600","143.7300","137.7100","143.5500","11909005"
"IBM","2021-04-20","137.0700","139.7700","136.7000","138.1600","15480579"
"IBM","2021-04-19","133.6000","133.8150","132.5800","133.1200","8198582"
"IBM","2021-04-16","133.0000","134.1000","132.9500","133.5900","5291756"
"IBM","2021-04-15","133.2800","133.8700","132.2200","132.5800","3883955"
"IBM","2021-04-14","131.3050","132.7800","130.5200","132.6300","5868049"
"IBM","2021-04-13","133.0000","133.6200","130.3800","131.1800","8033530"
"IBM","2021-04-12","135.0200","135.3700","133.8500","134.5900","3753959"
